tag,file_path,line_number,content,top_level_package
TODO,aurora/adapters/base.py,10,define connection timeout parameter in base interface,aurora
TODO,aurora/adapters/base.py,19,add message serialisation / compression support,aurora
TODO,aurora/adapters/http_adapter.py,15,initialise requests.Session with retry configuration,aurora
TODO,aurora/adapters/http_adapter.py,19,close and clean up the underlying HTTP session,aurora
TODO,aurora/adapters/http_adapter.py,23,implement POST with configurable timeout and auth headers,aurora
TODO,aurora/adapters/http_adapter.py,24,parse response and raise on non-2xx status codes,aurora
TODO,aurora/core/engine.py,13,implement dynamic plugin loader via importlib,aurora
TODO,aurora/core/engine.py,17,dispatch task to the correct worker based on task['type'],aurora
TODO,aurora/core/engine.py,18,propagate cancellation token through worker chain,aurora
TODO,aurora/core/engine.py,22,gracefully drain pending tasks before shutdown,aurora
TODO,aurora/core/scheduler.py,13,add priority queue support,aurora
TODO,aurora/core/scheduler.py,17,handle worker crashes and auto-restart failed tasks,aurora
TODO,aurora/core/utils.py,26,implement exponential back-off retry decorator,aurora
TODO,aurora/core/utils.py,31,add JSON-schema validation for the runtime config dict,aurora
TODO,aurora/core/utils.py,36,strip workspace-absolute prefixes and return repo-relative path,aurora
TODO,aurora/pipeline/stage.py,15,wrap handler execution in a try/except and emit metrics,aurora
TODO,aurora/pipeline/stage.py,30,pass context through each stage in order; stop on failure,aurora
TODO,aurora/pipeline/stage.py,31,record per-stage latency for observability,aurora
TODO,aurora/pipeline/transform.py,7,handle list values inside nested dicts,aurora
TODO,aurora/pipeline/transform.py,20,switch to Jinja2 for safe template rendering,aurora
